Region,Country,Year,Dengue,Dengue grave,Muertes,Proporcion dengue grave,Total
Andean Subregion,Colombia,2020,78082,897,55,1.135744944,78979
Central America Ithsmus and Mexico,Mexico,2020,119581,1058,79,0.876996659,120639
Southern Cone,Argentina,2020,59271,87,19,0.14656828,59358
Southern Cone,Brazil,2020,1466314,828,554,0.056436254,1467142
Andean Subregion,Colombia,2021,52376,958,43,1.796227547,53334
Central America Ithsmus and Mexico,Mexico,2021,36442,300,39,0.816504273,36742
Southern Cone,Argentina,2021,3972,0,0,0,3972
Southern Cone,Brazil,2021,975103,371,239,0.038032792,975474
Andean Subregion,Colombia,2022,68126,1371,48,1.972747025,69497
Central America Ithsmus and Mexico,Mexico,2022,59508,410,53,0.6842685,59918
Southern Cone,Argentina,2022,837,4,0,0.475624256,841
Southern Cone,Brazil,2022,2362040,1450,991,0.061349952,2363490
Andean Subregion,Colombia,2023,130070,1714,90,1.300613124,131784
Central America Ithsmus and Mexico,Mexico,2023,276310,1653,203,0.594683465,277963
Southern Cone,Argentina,2023,146615,261,75,0.177700917,146876
Southern Cone,Brazil,2023,3063112,1627,1188,0.053087718,3064739
Andean Subregion,Colombia,2024,317993,2989,229,0.931204865,320982
Central America Ithsmus and Mexico,Mexico,2024,554632,4214,478,0.754053889,558846
Southern Cone,Argentina,2024,579955,1604,408,0.275810364,581559
Southern Cone,Brazil,2024,10258779,8298,6264,0.080821445,10267077
Andean Subregion,Ecuador,2020,16356,51,6,0.310842932,16407
Andean Subregion,Peru,2020,56272,122,88,0.216335071,56394
Central America Ithsmus and Mexico,El Salvador,2020,5441,9,0,0.165137614,5450
Central America Ithsmus and Mexico,Guatemala,2020,6057,18,10,0.296296296,6075
Central America Ithsmus and Mexico,Honduras,2020,23394,1786,10,7.092930897,25180
Southern Cone,Paraguay,2020,223615,167,75,0.074626198,223782
Andean Subregion,Ecuador,2021,20513,79,19,0.383644133,20592
Andean Subregion,Peru,2021,49131,143,39,0.290213905,49274
Central America Ithsmus and Mexico,El Salvador,2021,5739,13,0,0.226008344,5752
Central America Ithsmus and Mexico,Guatemala,2021,2943,16,6,0.540723217,2959
Central America Ithsmus and Mexico,Honduras,2021,18712,1041,8,5.270085556,19753
Southern Cone,Paraguay,2021,16897,,4,,16897
Andean Subregion,Ecuador,2022,15908,109,13,0.68052694,16017
Andean Subregion,Peru,2022,72622,229,84,0.314340228,72851
Central America Ithsmus and Mexico,El Salvador,2022,16529,13,0,0.078587837,16542
Central America Ithsmus and Mexico,Guatemala,2022,8522,31,16,0.362445925,8553
Central America Ithsmus and Mexico,Honduras,2022,24901,436,9,1.720803567,25337
Southern Cone,Paraguay,2022,7402,26,0,0.350026925,7428
Andean Subregion,Ecuador,2023,27726,112,33,0.402327753,27838
Andean Subregion,Peru,2023,273172,1055,441,0.38471777,274227
Central America Ithsmus and Mexico,El Salvador,2023,5785,3,0,0.051831375,5788
Central America Ithsmus and Mexico,Guatemala,2023,72201,157,119,0.216976699,72358
Central America Ithsmus and Mexico,Honduras,2023,33822,228,49,0.669603524,34050
Southern Cone,Paraguay,2023,63216,0,24,0,63216
Andean Subregion,Ecuador,2024,61022,307,74,0.500578845,61329
Andean Subregion,Peru,2024,279982,744,259,0.265027108,280726
Central America Ithsmus and Mexico,El Salvador,2024,8523,29,9,0.339101964,8552
Central America Ithsmus and Mexico,Guatemala,2024,188331,254,188,0.134687276,188585
Central America Ithsmus and Mexico,Honduras,2024,174959,2250,160,1.269687205,177209
Southern Cone,Paraguay,2024,295785,0,129,0,295785
